Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all	CDI_prop	CTR_prop	fold_change	p_fisher	p_chi2	p_adjusted_fisher	p_adjusted_chi2
pfam14276	3	4012	2	1769	0.0007477567298105	0.0011305822498586	0.6613908275174477	0.644999924732365	1.0	1.0	1.0
pfam15649	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam10719	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam12106	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam17295	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam14411	9	4012	2	1769	0.0022432701894317	0.0011305822498586	1.9841724825523432	0.5208375202273023	0.5706041653396975	1.0	1.0
pfam00581	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam12645	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13636	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam13399	9	4012	2	1769	0.0022432701894317	0.0011305822498586	1.9841724825523432	0.5208375202273023	0.5706041653396975	1.0	1.0
pfam20095	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam05901	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam13978	9	4012	0	1769	0.0022432701894317	0.0	inf	0.0650532011205893	0.1027478812083488	1.0	1.0
pfam13290	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam07358	13	4012	1	1769	0.0032402791625124	0.0005652911249293	5.732053838484547	0.0781139676289465	0.1059702582064719	1.0	1.0
pfam14070	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam11126	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam11006	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam08742	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13031	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam12464	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam16199	3	4012	1	1769	0.0007477567298105	0.0005652911249293	1.3227816550348954	1.0	1.0	1.0	1.0
pfam05135	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam16403	5	4012	1	1769	0.0012462612163509	0.0005652911249293	2.2046360917248258	0.674009626173903	0.765833925220133	1.0	1.0
pfam05257	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam01541	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13620	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam10087	3	4012	1	1769	0.0007477567298105	0.0005652911249293	1.3227816550348954	1.0	1.0	1.0	1.0
pfam13953	5	4012	0	1769	0.0012462612163509	0.0	inf	0.331884368197978	0.3173062609741834	1.0	1.0
pfam13817	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam18348	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam09919	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam04650	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam16934	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam14021	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam14270	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam13320	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam08486	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13516	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14053	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam02049	3	4012	1	1769	0.0007477567298105	0.0005652911249293	1.3227816550348954	1.0	1.0	1.0	1.0
pfam10824	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam15534	2	4012	1	1769	0.0004985044865403	0.0005652911249293	0.8818544366899302	1.0	1.0	1.0	1.0
pfam04122	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam07666	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13828	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam13524	7	4012	6	1769	0.0017447657028913	0.003391746749576	0.514415088069126	0.235883593200862	0.3591292446834897	1.0	1.0
pfam07027	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14168	7	4012	1	1769	0.0017447657028913	0.0005652911249293	3.086490528414756	0.4484315278388276	0.4667160536421953	1.0	1.0
pfam08533	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14302	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam10905	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14697	5	4012	3	1769	0.0012462612163509	0.001695873374788	0.7348786972416085	0.7069175350815782	0.9681667773862548	1.0	1.0
pfam08955	4	4012	2	1769	0.0009970089730807	0.0011305822498586	0.8818544366899302	1.0	1.0	1.0	1.0
pfam13183	9	4012	14	1769	0.0022432701894317	0.0079140757490107	0.2834532117931919	0.0027445204713509	0.0033928654819863	1.0	1.0
pfam02026	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam04265	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam09560	3	4012	5	1769	0.0007477567298105	0.0028264556246466	0.264556331006979	0.0626328116989381	0.1151668906457472	1.0	1.0
pfam15533	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam09906	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam05717	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam08769	3	4012	1	1769	0.0007477567298105	0.0005652911249293	1.3227816550348954	1.0	1.0	1.0	1.0
pfam05713	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam06686	32	4012	11	1769	0.007976071784646	0.0062182023742227	1.2826973624580802	0.6183692695286696	0.5818025668492147	1.0	1.0
pfam00691	6	4012	3	1769	0.0014955134596211	0.001695873374788	0.8818544366899302	1.0	1.0	1.0	1.0
pfam14268	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam00440	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam15650	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam12833	5	4012	0	1769	0.0012462612163509	0.0	inf	0.331884368197978	0.3173062609741834	1.0	1.0
pfam04883	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam19154	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14771	8	4012	2	1769	0.0019940179461615	0.0011305822498586	1.7637088733798605	0.7331712235861156	0.700512751256986	1.0	1.0
pfam12652	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam07441	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam18317	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13499	6	4012	3	1769	0.0014955134596211	0.001695873374788	0.8818544366899302	1.0	1.0	1.0	1.0
pfam13018	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam18657	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14412	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
